WORD_ID,WORD,core_ethics,negative_impact,technology_term,human_condition,action_verb,trash_word,fairness,transparency,accountability,privacy,safety,beneficence,honesty,inclusion,diversity,accessibility,equity,governance,oversight,testing,monitoring,documentation,risk_identification,risk_mitigation,harm_prevention,collaboration,engagement,feedback,sustainability,future_risk,societal_impact,education,prohibition,limitation
WORD00001,layer,,,,,,layer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WORD00002,feedback,,,,,,,,,,,,,,,,,,,,,,,,,,,feedback,feedback,,,,,,
WORD00003,channels,,,,,,channels,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WORD00004,outlined,,,,,,outlined,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WORD00005,builders,,,,,,builders,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WORD00006,risk_management,,,,,,,,,,,,,,,,,,,,,,,,risk_management,,,,,,,,,,
WORD00007,feed,,,,,,feed,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WORD00008,establish,,,,,establish,establish,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WORD00009,scientific,,,,scientific,,scientific,,,,,,scientific,,,,,,,,,,,,,,,,,,,,,,
WORD00010,base,,,,,,base,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WORD00011,learning,,,learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WORD00012,president,,,,,,president,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WORD00013,flagged,,,,,,flagged,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WORD00014,recognize,,,,,recognize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WORD00015,vulnerabilities,,vulnerabilities,,,,,,,,,,,,,,,,,,,,,vulnerabilities,,,,,,,,,,,
WORD00016,partnered,,,,,partnered,,,,,,,,,,,,,,,,,,,,,partnered,,,,,,,,
WORD00017,sourced,,,,,,sourced,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WORD00018,study,,,,,,study,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WORD00019,agent,,,agent,,,agent,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WORD00020,developer,,,,,,developer,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WORD00021,explainability,,,,,,,,explainability,,,,,,,,,,,,,,,,,,,,,,,,,,
WORD00022,results,,,,,,results,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WORD00023,policies,,,,,,policies,,,,,,,,,,,,policies,,,,policies,,,,,,,,,,,,
WORD00024,problems,,,,,,problems,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WORD00025,cover,,,,,cover,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WORD00026,discussion,,,,,,discussion,,,,,,,,,,,,,,,,,,,,,discussion,,,,,,,
WORD00027,exercises,,,,,,exercises,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WORD00028,improvement,,,,,,improvement,,,,,,improvement,,,,,,,,,,,,,,,,,,,,,,
WORD00029,generating,,,,,,generating,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WORD00030,hate,,hate,,,,,,,,,hate,,,,,,,,,,,,,,,,,,,,,,,
WORD00031,majority,,,,,,majority,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WORD00032,web,,,,,,web,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WORD00033,forms,,,,,,forms,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WORD00034,receive,,,,,receive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WORD00035,pursuing,,,,,pursuing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WORD00036,dataset,,,dataset,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WORD00037,policymakers,,,,,,,,,,,,,,,,,,policymakers,,,,,,,,,,,,,,,,
WORD00038,mapping,,,,,mapping,mapping,,,,,,,,,,,,,,,,,mapping,,,,,,,,,,,
WORD00039,coupled,,,,,,coupled,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WORD00040,aged,,,,,,aged,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WORD00041,advanced,,,,,,advanced,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WORD00042,unlearning,,,,,unlearning,,,,,,,,,,,,,,,,,,,unlearning,,,,,,,,,,
