WORD_ID,WORD,core_ethics,negative_impact,technology_term,human_condition,action_verb,trash_word,fairness,transparency,accountability,privacy,safety,beneficence,honesty,inclusion,diversity,accessibility,equity,governance,oversight,testing,monitoring,documentation,risk_identification,risk_mitigation,harm_prevention,collaboration,engagement,feedback,sustainability,future_risk,societal_impact,education,prohibition,limitation
WORD00001,concerns,,concerns,,,,,,,,,,,,,,,,,,,,,concerns,,,,,,,,,,,
WORD00002,part,,,,,,part,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WORD00003,result,,,,,,result,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WORD00004,professional,,,,,,professional,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WORD00005,importance,,,,,,importance,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WORD00006,draw,,,,,draw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WORD00007,technique,,,,,,technique,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WORD00008,unifying,,,,,,unifying,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WORD00009,published,,,,,published,published,,,,,,,,,,,,,,,,published,,,,,,,,,,,,
WORD00010,furthering,,,,,furthering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WORD00011,watermarking,,,watermarking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WORD00012,firm,,,,,,firm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WORD00013,long,,,,,,long,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WORD00014,occur,,,,,occur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WORD00015,central,,,,,,central,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WORD00016,combat,,,,,combat,,,,,,,,,,,,,,,,,,,,combat,,,,,,,,,
WORD00017,network,,,network,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WORD00018,page,,,,,,page,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WORD00019,hundreds,,,,,,hundreds,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WORD00020,metadata,,,metadata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WORD00021,tuning,,,,,,tuning,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WORD00022,tailor,,,,,tailor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WORD00023,nist,,,,,,nist,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WORD00024,groups,,,,,,groups,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WORD00025,na,,,,,,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WORD00026,violate,,,,,violate,,,,,,,,,,,,,,,,,,,,,,,,,,,,violate,
WORD00027,allocate,,,,,allocate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WORD00028,terms,,,,,,terms,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WORD00029,previous,,,,,,previous,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WORD00030,broadly,,,,,,broadly,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WORD00031,ie,,,,,,ie,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WORD00032,adversarial,,adversarial,,,,adversarial,,,,,,,,,,,,,,adversarial,,,,,,,,,,,,,,
WORD00033,individual,,,,individual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WORD00034,putting,,,,,putting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WORD00035,helpful,,,,,,helpful,,,,,,helpful,,,,,,,,,,,,,,,,,,,,,,
WORD00036,examining,,,,,examining,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
