WORD_ID,WORD,core_ethics,negative_impact,technology_term,human_condition,action_verb,trash_word,fairness,transparency,accountability,privacy,safety,beneficence,honesty,inclusion,diversity,accessibility,equity,governance,oversight,testing,monitoring,documentation,risk_identification,risk_mitigation,harm_prevention,collaboration,engagement,feedback,sustainability,future_risk,societal_impact,education,prohibition,limitation
WORD00001,humans,,,,humans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WORD00002,management,,,,,,management,,,,,,,,,,,,management,,,,,,,,,,,,,,,,
WORD00003,technique,,,technique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WORD00004,legal,,,,,,legal,,,,,,,,,,,,legal,,,,,,,,,,,,,,,,
WORD00005,developing,,,,,developing,developing,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WORD00006,synthesis,,,,,,synthesis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WORD00007,countries,,,,,,countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WORD00008,results,,,,,,results,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WORD00009,alignment,alignment,,,,,alignment,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WORD00010,iterate,,,,,iterate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WORD00011,publish,,,,,publish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WORD00012,actors,,,,,,actors,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WORD00013,others,,,,,,others,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WORD00014,dialogue,,,,,,dialogue,,,,,,,,,,,,,,,,,,,,dialogue,dialogue,,,,,,,
WORD00015,approach,,,approach,,,approach,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WORD00016,multiple,,,,,,multiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WORD00017,council,,,,,,council,,,council,,,,,,,,,council,council,,,,,,,,,,,,,,,
WORD00018,much,,,,,,much,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WORD00019,query,,,query,,,query,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WORD00020,authority,,,,,,authority,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WORD00021,tutorials,,,,,,tutorials,,,,,,,,,,,,,,,,,,,,,,,,,,tutorials,,
